experiment,epoch,train_loss,val_loss
segres-dice_ce-full,89,0.32495927810668945,0.3359140455722809
segres-dice_ce-full,90,0.3181069493293762,0.33136940002441406
segres-dice_ce-full,91,0.32891252636909485,0.3404467701911926
segres-dice_ce-full,92,0.31912094354629517,0.3260674774646759
segres-dice_ce-full,93,0.3173123598098755,0.3304552733898163
segres-dice_ce-full,94,0.3288065791130066,0.3405631184577942
segres-dice_ce-full,95,0.3160540461540222,0.32777830958366394
segres-dice_ce-full,96,0.31960901618003845,0.32372504472732544
segres-dice_ce-full,97,0.3164891004562378,0.34073880314826965
segres-dice_ce-full,98,0.31404247879981995,0.33567696809768677
segres-dice_ce-full,99,0.30488502979278564,0.32485875487327576
segres-dice_ce-patch,0,1.353115439414978,1.3269084692001343
segres-dice_ce-patch,1,1.235672116279602,1.2094285488128662
segres-dice_ce-patch,2,1.1716959476470947,1.1706379652023315
